0B94D00000049A58 [ 37 ADV_IND         crc=1 sig=    20/255 len=46 t=18446744072384995195 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB280009DC88A0 [ 37 ADV_IND         crc=1 sig=    41/255 len=46 t= 101135 AdvA=78BDBCCFAB3E content=%>xuBx>z:
1BEB280009DD4100 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t=   2450 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB280009F603C0 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t= 101528 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000A27E540 [ 37 ADV_IND         crc=1 sig=    41/255 len=46 t= 204223 AdvA=78BDBCCFAB3E content=%>xuBx>z:
1BEB28000A3F8460 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t=  96779 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000A4DFD00 [ 37 ADV_IND         crc=1 sig=    41/255 len=46 t=  59284 AdvA=78BDBCCFAB3E content=%>xuBx>z:
1BEB28000A58D880 [ 37 ADV_IND         crc=1 sig=    20/255 len=46 t=  44486 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000A714260 [ 37 ADV_IND         crc=1 sig=    22/255 len=46 t=  99992 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000A72A340 [ 37 ADV_IND         crc=1 sig=    42/255 len=46 t=   5866 AdvA=78BDBCCFAB3E content=%>xuBx>z:
1BEB28000A8A48C0 [ 37 ADV_IND         crc=1 sig=    22/255 len=46 t=  96612 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000AA17A20 [ 37 ADV_IND         crc=1 sig=    22/255 len=46 t=  95032 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000AB9E400 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t=  99950 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000AD2E9C0 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t= 102528 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000AE645C0 [ 37 ADV_IND         crc=1 sig=    43/255 len=46 t=  79219 AdvA=78BDBCCFAB3E content=%>xuBx>z:
1BEB28000B0293A0 [ 37 ADV_IND         crc=1 sig=    20/255 len=46 t= 116676 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000B0C7360 [ 37 ADV_IND         crc=1 sig=    42/255 len=46 t=  39724 AdvA=78BDBCCFAB3E content=%>xuBx>z:
1BEB28000B19B640 [ 37 ADV_IND         crc=1 sig=    22/255 len=46 t=  54355 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000B3158E0 [ 37 ADV_IND         crc=1 sig=    44/255 len=46 t=  96772 AdvA=78BDBCCFAB3E content=%>xuBx>z:
1BEB28000B4A3C80 [ 37 ADV_IND         crc=1 sig=    20/255 len=46 t= 101983 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000B587160 [ 37 ADV_IND         crc=1 sig=    43/255 len=46 t=  58142 AdvA=78BDBCCFAB3E content=%>xuBx>z:
1BEB28000B62F4C0 [ 37 ADV_IND         crc=1 sig=    20/255 len=46 t=  43139 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000B7BACA0 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t= 101235 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000B946E00 [ 37 ADV_IND         crc=1 sig=    20/255 len=46 t= 101433 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000BA503C0 [ 37 ADV_IND         crc=1 sig=    43/255 len=46 t=  67793 AdvA=78BDBCCFAB3E content=%>xuBx>z:
1BEB28000BAD1FC0 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t=  33256 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000BC9F720 [ 37 ADV_IND         crc=1 sig=    44/255 len=46 t= 118119 AdvA=78BDBCCFAB3E content=%>xuBx>z:
1BEB28000BDCBA80 [ 37 ADV_IND         crc=0 sig=    22/255 len=46 t=  76881 AdvA=CCB11A8AC6F5 content=%uBDHO$W
1BEB28000BF0FFE0 [ 37 ADV_IND         crc=1 sig=    44/255 len=46 t=  82993 AdvA=78BDBCCFAB3E content=%>xuBx>z:
1BEB28000BF4D3E0 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t=  15654 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000C1773C0 [ 37 ADV_IND         crc=1 sig=    46/255 len=46 t= 141886 AdvA=78BDBCCFAB3E content=%>xuBx>z:
1BEB28000C25AFC0 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t=  58242 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000C3E1320 [ 37 ADV_IND         crc=1 sig=    22/255 len=46 t=  99874 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000C55DEC0 [ 37 ADV_IND         crc=1 sig=    22/255 len=46 t=  97505 AdvA=CCB11A8AC6F5 content=%uB@O$W


000000001942B920 [ 37 ADV_IND         crc=1 sig=    41/255 len=46 t= 109901 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001967E900 [ 37 ADV_IND         crc=1 sig=    41/255 len=46 t= 152337 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000196E9920 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t=  27389 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000198692E0 [ 38 ADV_NONCONN_IND crc=1 sig=    21/255 len=43 t=  98130 AdvA=78BDBC59D87D content="}YxuBxY}zY|x
0000000019878540 [ 38 ADV_IND         crc=1 sig=    15/255 len=46 t=   3827 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001987B9C0 [ 39 ADV_IND         crc=0 sig=    16/255 len=46 t=    875 AdvA=CCB11A8AC6F5 content=%uB@OW
0000000019A0A600 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t= 102171 AdvA=CCB11A8AC6F5 content=%uB@O$W
