0000000036D25CF8 [ 39 ADV_NONCONN_IND crc=0 sig=    12/128 len=43 t=  70292 AdvA=789DBC59D87D content="}Yx[uBxY}zY|x
0000000036DEBA7A [ 39 ADV_IND         crc=1 sig=    97/128 len=46 t=  49675 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000036F268BC [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t=  77377 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000370572EA [ 39 ADV_IND         crc=1 sig=    97/128 len=46 t=  84958 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000037221E28 [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t= 115711 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000003729E766 [ 39 ADV_IND         crc=1 sig=    97/128 len=46 t=  31030 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000003737EA9A [ 39 ADV_IND         crc=1 sig=    40/128 len=46 t=  59268 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000373DF22A [ 39 ADV_NONCONN_IND crc=1 sig=    12/128 len=43 t=  26651 AdvA=78BDBC59D87D content="}YxuBxY}zY|x
00000000375FC126 [ 39 ADV_NONCONN_IND crc=0 sig=    12/128 len=43 t= 159353 AdvA=78BDBC59D87D content="}YxuBxYmz=Y|x
000000003765EDAE [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t=  17715 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000003771AEA2 [ 39 ADV_IND         crc=1 sig=    96/128 len=46 t=  44303 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000037A6ABF0 [ 39 ADV_NONCONN_IND crc=0 sig=    12/128 len=43 t= 235118 AdvA=789DBC59D87D content="}YxuBxY}zQ<@x
0000000037BB9CBE [ 39 ADV_IND         crc=1 sig=    97/128 len=46 t=  92800 AdvA=78BDBCCFAB3E content=%>xuBx>z:

